,drama_filtro,anio_capitulos
0,See You Again,45
1," Fantasía, Ficción, Romance ",2019
2," Shi Jian (Tiffany Tang), de 31 años, está en un avión, en camino a una reunión. Pero en pleno vuelo, el avión es sacudido por una fuerte turbulencia. Temiendo por su vida, se desmaya. Cuando recupera la conciencia, descubre que ya no está en el avión... ¡y tampoco tiene 31 añ... ", 45 
3,Lost Love in Times,45
4," Fantasía, Histórico, Romance ",2017
5," La protagonista femenina, Feng Qing Chen, es una hechicera de la Torre Mingyi, la organización secreta encargada de proteger a la familia real. Yuan Ling es un príncipe del oeste de Wei, un reino dominante durante las dinastías del norte y del sur. Se lo describe como un ""lobo... ", 45 
6,Begonia Rogue,52
7," Drama, Histórico, Romance ",2019
8," Para encontrar a su padre desaparecido, la joven doncella Gu Hai Tang llega a Kunyang y comienza a trabajar en la fabricación de rouge de la familia Lang. Allí ella siempre pelea con el segundo hijo de la familia Lang, Yue Xuan, hasta que se hacen amigos. Sin embargo, el hermano may... ", 40 
9,You Are So Beautiful,7
10, Amistad ,2019
11, ... , 60 
12,Across the Ocean to See You,44
13," Comedia, Drama, Romance ",2017
14," Su Mang, que vive en el extranjero, asumió el cargo en una corporación turística. Después del matrimonio de Su Mang con su esposo Tian Xue Cheng, su temperamento cambió mucho, y Tian Xue Cheng solicitó el divorcio. Después del divorcio, Su Mang solicitó a su compañía actual ... ", 42 
15,Still 17,16
16," Romance, melodrama ",2018
17," Un genio violinista de 17 años sufre un accidente que lo deja en coma por 13 años, cuando por fin despierta se da cuenta de que ya tiene 30 años y sufre una crisis de identidad.... ", 0 
18,Terius Behind Me,16
19," Romance, Crimen, Misterio, Comedia, Thriller , Acción ",2018
20," Go Ae Rin (Jung In Sun, Go Go Waikiki) es madre soltera. Cuando perdió a su esposo, ella pensó que su vida estaba destrozada. Go Ae Rin pronto se da cuenta de que algo sucio estaba en juego en la muerte de su marido. Y a menos que descubra lo que sucedió, su familia siempre estará... ", 0 
21,Memories of Love,30
22," Drama, Romance ",2018
23," Basado en una novela del mismo nombre del escritor Qing Shan Luo Tuo, cuenta la historia de una joven pareja que descubre que su amor se reavivó después de haber estado separado durante diez años. En Flores nos enviará en nuestro camino, Wallace interpreta a Lu Fei, un príncipe a... ", 0 
24,Love Is Deep,40
25, Romance ,2019
26, Querer a alguien es amar ligeramente mientras que amar a alguien es querer profundamente. Hay una persona en este mundo y en esta vida a quien amarás profundamente. Esta es una historia realista de curación. Zheng Ding Ding y su novio Chen Xun han estado saliendo durante años. D... , 46 
27,Vagabond,16
28," Acción, Drama ",2019
29, Un drama de espionaje sobre un hombre común que se encuentra con circunstancias sorprendentes que lo ubican en el centro de un gran escándalo de corrupción.... , 60 
30,Brother’s Friend (Ani Tomo),1
31," Comedia, Romance, Escolar, Drama ",2018
32," Nishino Sota es un buen estudiante de secundaria. Se encuentra con Mai, que es la hermana menor de su amigo Nanase Yukihiro. Ella también es una estudiante de secundaria y algo ingenua. Sota murmura a Yukihiro &quot;Tu hermana es linda&quot;. Mai escucha el comentario de Sota... ", 0 
33,Memories of the Alhambra,16
34," Acción, Fantasía, Ficción, Melodrama, Misterio, Romance, Suspenso ",2018
35, Un thriller sobre los misterios que rodean una realidad aumentada (AR). El dueño de una compañía de inversión viaja a España y se queda en un hotel barato administrado por un ex guitarrista.... , 65 
36,Gracious Revenge,74
37," Drama, Melodrama ",2019
38," ""Gracious Revenge"" es un melodrama sobre una mujer que fue criada para ser la herramienta de su madre para enamorarse por venganza de un amor peligroso.... ", 30 
39,Witch's Court,16
40, Romance ,2017
41," Ma Yi Deum (Jung Ryeo Won) ha trabajado como fiscal durante 7 años. A veces recurre a métodos drásticos para ganar casos. Un día, Ma Yi Deum es trasladado a una división especial que trata sólo con delitos sexuales.... ", 0 
42,We Got Married S4,1
43," Kshow, Game-Show ",2017
44, ¡Mira cómo las celebridades simulan la vida matrimonial y encuentra la respuesta a tus problemas relacionados con el matrimonio! Nos Hemos Casado es un popular reality show surcoreano de la MBC que empezó a emitirse en el 2008. El programa trata sobre parejas de celebridades que v... , 0 
45,Destiny’s Love,36
46," Fantasía, Melodrama, Romance, Sobrenatural ",2019
47," Una historia que gira en torno a los complicados enredos entre un inmortal con la habilidad mágica de reescribir el destino de alguien y un productor de cine. Debido a los conflictos civiles, Chi Yu (Zhang Mingen), un guardián de las estrellas, pierde accidentalmente el Sun Moon Jad... ", 45 
48,The Universe’s Star,3
49," Drama, Musical, Romance, Sobrenatural, Tragédia ",2017
