,drama,capitulos,filtro,anio,duracion
0,All I Want for Love is You,32,"" Comedia;Drama;Escolar;Juvenil;Romance "",2019,30
1,Strong Woman Do Bong Soon,16,"" Romance; Comedia; Drama "",2017,0
2,Escalera al cielo (stairway to Heaven),20, Drama ,2003,0 
3,Melting Me Softly,16,"" Comedia; Drama; Fantasia; Romance "",2019,60 
4,Are You Human Too?,19,Romance ,2018,0 
5,Introverted Boss,16,"" Romance; Comedia; Drama "",2017,0
6,Dragon Day You're Dead 2,20,"" Drama; Escolar; Romance "",2019,29
7,Still 17,16,"" Romance; melodrama "",2018,0
8,Vagabond,16,"" Accion; Drama "",2019,60
9,Her Private Life,17,"" Comedia; Drama; Romance "",2019, 60 
10,Love Rain,20,"" Drama; Melodrama; Romance "",2012, 65 
11,The Love by Hypnotic,36,"" Comedia; Romance "",2019,30
12,W - Two Worlds,16,"" Romance; Comedia; Fantasia; Drama; Suspenso "",2016
13,Romance is a Bonus Book,16,"" Comedia; Drama; Romance "",2019,60
14,School 2017,16,"" Romance; Escuela; Juventud "",2017,0
15,Personal Taste,14,Comedia ,2010,0
16,My Love From The Stars,21,"" Drama; Melodrama; Romance "",2013,0
17,Ever Night,60,"" Drama; Fantasia; Romance "",2018,0
18,Method to Hate You,6,"" Drama; Escolar; Juvenil; Romance "",2019,20
19,The Return Of Superman,116, Kshow ,2016,0
20,Heartstrings,15,"" Comedia; Romance; Escolar "",2011,0
21,Marriage Contract,16,"" Drama; Familiar; Melodrama; Romance "",2016,75
22,Guardians of the Ancient Oath,7,"" Accion; Aventura; Fantasia; Historico "",2020
23,Love By Chance,14,"" Romance; Escolar; Yaoi "",2018,0
24,City Hunter,20,"" Accion; Crimen; Intriga; Misterio; Politica"",2011,70
25,The Heirs,20,"" Comedia; Drama; Romance "",2013,0
26,Handsome Tigers,6,"" Deportes; Entretenimiento; Kshow "",2020,65
27,My Girlfriend is an Alien,28,"" Fantasia; Romance "",2019,50
28,Two Weeks,16,"" Accion; Drama; Intriga; Investigacion "",2013,65
29,Chocolate,16,"" Comida; Drama; Medico; Romance "",2019,60
